Rank;IATA;Latitude;Longitude;Name;Traffic
1;ATL;33.64083333;-84.42722222;Hartsfield-Jackson Atlanta International;110531300
2;LAX;33.94250000;-118.40805556;Los Angeles International;88068013
3;ORD;41.97805556;-87.90611111;Chicago O'Hare International;84649115
4;DFW;32.89444444;-97.02972222;Dallas Fort Worth Regional;75066956
5;DEN;39.77444444;-104.87972222;Denver International;69015703
6;JFK;40.63861111;-73.77694444;John F. Kennedy International;62551072
7;SFO;37.61888889;-122.37500000;San Francisco International;57488023
8;SEA;47.44722222;-122.30555556;Seattle International;51829239
9;LAS;36.08000000;-115.15222222;Las Vegas McCarran International;51537638
10;MCO;28.43166667;-81.32472222;Orlando International;50613072
11;CLT;35.21916667;-80.93583333;Charlotte Douglas International;50168783
12;EWR;40.69583333;-74.17166667;Newark Liberty International;46336452
13;PHX;33.43611111;-112.00944444;Phoenix Sky Harbor International;46288337
14;MIA;25.79250000;-80.28611111;Miami International;45924466
15;IAH;29.98333333;-95.34000000;Houston Intercontinental;45264059
16;BOS;42.36361111;-71.00611111;Boston Logan International;42522411
17;MSP;44.88611111;-93.21777778;Minneapolis-St Paul International;39555035
18;DTW;42.21666667;-83.34444444;Detroit Metro Wayne County;36769279
19;FLL;26.07416667;-80.15166667;Fort Lauderdale-Hollywood International;36747622
20;PHL;39.86805556;-75.24861111;Philadelphia International;33018886
21;LGA;40.77944444;-73.87583333;New York LaGuardia;31084894
22;BWI;39.17500000;-76.67000000;Baltimore/Washington International;26993896
23;SLC;40.78416667;-111.96694444;Salt Lake City International;26808014
24;SAN;32.73277778;-117.18722222;San Diego International Lindbergh Fl;25216947
25;IAD;38.94166667;-77.45750000;Washington Dulles International;24817677
